"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D660","2019-09-18 02:00:00","65.000","73.000","2.100","25.200","0.780","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","25.500","","25.200",""
"C0E540","2019-09-18 02:00:00","32.000","39.000","5.400","25.900","0.730","1005.200","-99.000","0.000","14.200","55.000","","25.900","","25.700",""
"C0W170","2019-09-18 02:00:00","42.000","35.000","8.000","26.400","0.660","1006.000","-99.000","0.000","14.000","39.000","","26.800","","26.300",""
"C0Z150","2019-09-18 02:00:00","27.000","151.000","0.300","24.200","0.900","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","24.200",""
"C0S840","2019-09-18 02:00:00","22.000","268.000","2.500","23.800","0.860","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","24.900","","23.800",""
"C0H9A0","2019-09-18 02:00:00","1595.000","248.000","0.700","15.700","0.990","843.400","-99.000","0.000","-99.000","-99.000","-99.000","16.500","","15.700",""
"C0Z300","2019-09-18 02:00:00","182.000","0.000","0.000","22.100","0.990","989.500","-99.000","0.000","-99.000","-99.000","-99.000","23.000","","22.000",""
"C0G730","2019-09-18 02:00:00","27.000","17.000","4.200","25.100","0.840","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","25.400","","25.100",""
"C0V730","2019-09-18 02:00:00","33.000","130.000","0.800","27.700","0.990","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","28.500","","27.700",""
"C0SA00","2019-09-18 02:00:00","466.000","300.000","2.500","21.000","0.920","956.300","-99.000","0.000","-99.000","-99.000","-99.000","22.000","","20.800",""
"C0S900","2019-09-18 02:00:00","27.000","341.000","8.100","28.200","0.700","1004.600","-99.000","0.000","18.500","338.000","","28.300","","28.000",""
"C0C480","2019-09-18 02:00:00","105.000","0.000","0.000","24.200","0.860","998.900","-99.000","0.000","-99.000","-99.000","-99.000","24.700","","24.100",""
"C0V720","2019-09-18 02:00:00","15.000","49.000","1.200","28.600","0.790","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","28.600",""
"C0UA60","2019-09-18 02:00:00","566.000","326.000","4.400","23.300","0.670","946.400","-99.000","0.000","11.000","324.000","","23.800","","22.700",""
"C0A980","2019-09-18 02:00:00","11.000","357.000","2.500","25.900","0.810","1010.100","-99.000","0.500","-99.000","-99.000","-99.000","26.100","","25.000",""
"C0C670","2019-09-18 02:00:00","250.000","54.000","1.800","23.300","0.820","983.000","-99.000","0.000","-99.000","-99.000","-99.000","23.500","","23.200",""
"C0K550","2019-09-18 02:00:00","15.000","12.000","1.300","25.000","0.760","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","25.900","","25.000",""
"C0R350","2019-09-18 02:00:00","35.000","60.000","1.400","25.800","0.810","1003.300","-99.000","0.000","-99.000","-99.000","-99.000","27.100","","25.400",""
"C0T9F0","2019-09-18 02:00:00","251.000","327.000","0.500","23.200","0.740","980.400","-99.000","0.000","-99.000","-99.000","-99.000","23.900","","23.200",""
"C0D390","2019-09-18 02:00:00","146.000","0.000","0.000","23.700","0.800","992.600","-99.000","0.000","-99.000","-99.000","-99.000","24.900","","23.700",""
"C0E430","2019-09-18 02:00:00","258.000","0.000","0.000","22.100","0.870","983.700","-99.000","0.000","-99.000","-99.000","-99.000","23.100","","22.000",""
"C0O990","2019-09-18 02:00:00","18.000","5.000","0.800","25.400","0.920","1005.200","-99.000","0.000","-99.000","-99.000","-99.000","26.100","","25.400",""
"CM0010","2019-09-18 02:00:00","68.000","31.000","1.100","25.300","-99.000","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","25.400","","25.100",""
"C0K500","2019-09-18 02:00:00","12.000","32.000","2.700","25.000","0.770","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","25.600","","24.800",""
"C0X260","2019-09-18 02:00:00","39.000","21.000","0.900","24.600","0.790","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","24.400",""
"C0ACA0","2019-09-18 02:00:00","25.000","252.000","0.500","25.500","0.790","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","25.600","","25.400",""
"C0X180","2019-09-18 02:00:00","62.000","0.000","0.100","24.400","0.950","999.900","-99.000","0.000","-99.000","-99.000","-99.000","25.300","","24.400",""
"C0F930","2019-09-18 02:00:00","100.000","60.000","1.000","25.700","0.880","996.700","-99.000","0.000","-99.000","-99.000","-99.000","25.700","","25.500",""
"C0I010","2019-09-18 02:00:00","1562.000","90.000","0.800","16.700","0.780","845.900","-99.000","0.000","-99.000","-99.000","-99.000","17.300","","16.700",""
"C0R190","2019-09-18 02:00:00","32.000","0.000","0.000","24.900","0.990","1003.100","-99.000","0.000","-99.000","-99.000","-99.000","25.900","","24.900",""
"C0E420","2019-09-18 02:00:00","19.000","43.000","2.800","25.400","0.750","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","25.400","","25.300",""
"C0W160","2019-09-18 02:00:00","49.000","59.000","16.500","27.000","0.750","1001.200","-99.000","0.000","22.100","63.000","","27.200","","27.000",""
"C0I460","2019-09-18 02:00:00","110.000","0.000","0.200","25.200","0.720","995.200","-99.000","0.000","-99.000","-99.000","-99.000","25.900","","25.100",""
"C0A9F0","2019-09-18 02:00:00","35.000","73.000","2.400","26.000","0.850","1007.500","-99.000","0.500","-99.000","-99.000","-99.000","26.100","","25.700",""
"C0F9A0","2019-09-18 02:00:00","425.000","157.000","0.900","23.000","0.910","959.700","-99.000","0.000","-99.000","-99.000","-99.000","23.000","","22.400",""
"C0O950","2019-09-18 02:00:00","4.000","340.000","1.600","25.600","0.760","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","26.000","","25.500",""
"C0M760","2019-09-18 02:00:00","40.000","2.000","1.300","25.000","0.760","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","25.800","","25.000",""
"C0AH70","2019-09-18 02:00:00","34.000","249.000","0.600","26.300","0.720","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","26.700","","26.300",""
"C0V250","2019-09-18 02:00:00","298.000","269.000","0.500","23.200","0.990","974.800","-99.000","0.000","-99.000","-99.000","-99.000","23.400","","23.000",""
"C0U980","2019-09-18 02:00:00","573.000","337.000","2.400","20.900","0.990","948.200","-99.000","1.000","11.300","337.000","","21.200","","20.800",""
"C0S740","2019-09-18 02:00:00","289.000","82.000","0.400","21.700","0.970","977.000","-99.000","0.000","-99.000","-99.000","-99.000","22.700","","21.600",""
"C0A940","2019-09-18 02:00:00","49.000","55.000","1.200","24.600","0.930","1005.900","-99.000","0.500","7.100","78.000","","25.900","","24.600",""
"C0A920","2019-09-18 02:00:00","196.000","55.000","1.300","24.300","1.000","988.400","-99.000","0.000","-99.000","-99.000","-99.000","24.300","","23.800",""
"C0T870","2019-09-18 02:00:00","135.000","0.000","0.100","20.800","0.960","993.400","-99.000","0.000","-99.000","-99.000","-99.000","21.700","","20.800",""
"C0O930","2019-09-18 02:00:00","69.000","0.000","0.000","23.500","1.000","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","24.500","","23.500",""
"C0AI40","2019-09-18 02:00:00","37.000","189.000","1.400","26.200","0.720","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","27.400","","26.200",""
"C0C460","2019-09-18 02:00:00","482.000","0.000","0.000","22.300","0.810","958.000","-99.000","0.000","-99.000","-99.000","-99.000","22.400","","22.100",""
"C0E520","2019-09-18 02:00:00","320.000","58.000","0.700","21.300","0.910","972.900","-99.000","0.000","-99.000","-99.000","-99.000","22.500","","20.900",""
"C0T9D0","2019-09-18 02:00:00","7.000","36.000","2.300","-99.000","0.640","1007.800","-99.000","0.000","8.500","52.000","","-999.000","","-999.000",""
"C0I390","2019-09-18 02:00:00","1184.000","95.000","1.600","18.100","0.900","883.100","-99.000","0.000","-99.000","-99.000","-99.000","19.900","","18.100",""
"C0B020","2019-09-18 02:00:00","86.000","6.000","7.700","24.900","0.990","999.100","-99.000","1.000","12.800","18.000","","26.100","","24.500",""
"CM0170","2019-09-18 02:00:00","106.000","0.000","0.200","23.700","0.900","996.600","-99.000","0.000","-99.000","-99.000","-99.000","24.700","","23.700",""
"C0F860","2019-09-18 02:00:00","2215.000","89.000","0.800","12.400","0.940","780.100","-99.000","0.000","-99.000","-99.000","-99.000","13.900","","12.400",""
"C0U890","2019-09-18 02:00:00","116.000","273.000","3.000","24.400","0.860","998.600","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","24.000",""
"C0G800","2019-09-18 02:00:00","15.000","27.000","5.300","25.100","0.780","1005.500","-99.000","0.000","14.100","16.000","","25.500","","25.100",""
"C0F850","2019-09-18 02:00:00","379.000","0.000","0.000","21.800","0.930","965.100","-99.000","0.000","-99.000","-99.000","-99.000","22.400","","21.700",""
"C0AH50","2019-09-18 02:00:00","275.000","24.000","3.600","24.200","0.990","980.000","-99.000","0.000","-99.000","-99.000","-99.000","24.400","","24.100",""
"C0Z160","2019-09-18 02:00:00","124.000","0.000","0.200","23.100","0.880","995.600","-99.000","0.000","-99.000","-99.000","-99.000","23.500","","18.900",""
"C0R540","2019-09-18 02:00:00","17.000","73.000","1.000","27.000","0.830","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","28.100","","27.000",""
"C0K480","2019-09-18 02:00:00","56.000","3.000","1.700","24.200","0.770","1001.000","-99.000","0.000","-99.000","-99.000","-99.000","24.600","","24.100",""
"C0H890","2019-09-18 02:00:00","440.000","0.000","0.000","23.700","0.930","958.200","-99.000","0.000","-99.000","-99.000","-99.000","23.900","","23.600",""
"C0S770","2019-09-18 02:00:00","375.000","291.000","0.700","22.300","0.780","966.400","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","22.300",""
"C0X230","2019-09-18 02:00:00","29.000","353.000","0.900","24.200","0.800","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","24.900","","24.200",""
"C0B010","2019-09-18 02:00:00","38.000","69.000","1.300","24.800","0.910","1004.300","-99.000","1.000","7.200","16.000","","26.500","","24.800",""
"C0R490","2019-09-18 02:00:00","49.000","21.000","1.200","26.500","0.950","1001.300","-99.000","0.000","-99.000","-99.000","-99.000","27.500","","26.500",""
"C0V440","2019-09-18 02:00:00","27.000","173.000","0.600","27.500","0.790","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","27.500","","26.800",""
"C0SA40","2019-09-18 02:00:00","200.000","339.000","0.500","23.000","0.900","986.300","-99.000","0.000","-99.000","-99.000","-99.000","24.100","","23.000",""
"C0Z280","2019-09-18 02:00:00","224.000","263.000","0.400","22.100","0.930","984.400","-99.000","0.000","-99.000","-99.000","-99.000","23.300","","22.000",""
"C0Z070","2019-09-18 02:00:00","247.000","0.000","0.200","21.900","0.990","980.500","-99.000","0.000","-99.000","-99.000","-99.000","22.900","","21.900",""
"C0T9N0","2019-09-18 02:00:00","261.000","59.000","0.800","22.500","0.940","979.500","-99.000","0.000","-99.000","-99.000","-99.000","23.200","","22.500",""
"C0K470","2019-09-18 02:00:00","97.000","117.000","0.700","23.200","0.990","996.500","-99.000","0.000","-99.000","-99.000","-99.000","24.100","","23.000",""
"C0V650","2019-09-18 02:00:00","28.000","21.000","2.100","27.000","0.730","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","27.700","","27.000",""
"C0H9C0","2019-09-18 02:00:00","3402.000","67.000","1.900","10.100","0.340","676.800","-99.000","0.000","-99.000","-99.000","-99.000","10.100","","7.900",""
"C0U780","2019-09-18 02:00:00","15.000","269.000","1.800","25.700","0.670","1009.100","-99.000","0.000","-99.000","-99.000","-99.000","25.700","","24.900",""
"C0U760","2019-09-18 02:00:00","22.000","310.000","1.100","27.200","0.600","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","27.900","","26.500",""
"C0X290","2019-09-18 02:00:00","10.000","18.000","3.600","26.500","0.720","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","26.500","","26.100",""
"C0R420","2019-09-18 02:00:00","504.000","96.000","2.400","22.600","-99.000","947.800","-99.000","0.000","-99.000","-99.000","-99.000","22.600","","21.400",""
"C0E830","2019-09-18 02:00:00","37.000","40.000","4.200","26.500","0.700","1003.500","-99.000","0.000","9.900","38.000","","26.500","","26.100",""
"C0K330","2019-09-18 02:00:00","38.000","360.000","0.700","24.500","0.760","1003.000","-99.000","0.000","-99.000","-99.000","-99.000","25.000","","24.500",""
"C0M660","2019-09-18 02:00:00","40.000","1.000","1.000","24.300","0.790","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","25.200","","24.300",""
"C0D580","2019-09-18 02:00:00","120.000","0.000","0.000","22.400","0.800","996.100","-99.000","0.000","-99.000","-99.000","-99.000","22.700","","22.200",""
"C0R640","2019-09-18 02:00:00","21.000","82.000","1.000","28.100","0.820","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","28.700","","28.000",""
"C0E810","2019-09-18 02:00:00","53.000","19.000","4.300","24.500","0.790","1002.700","-99.000","0.000","10.700","40.000","","24.600","","24.200",""
"C0G830","2019-09-18 02:00:00","27.000","3.000","3.300","24.500","0.980","1003.000","-99.000","0.000","-99.000","-99.000","-99.000","24.900","","24.300",""
"C0G750","2019-09-18 02:00:00","31.000","341.000","1.900","25.100","0.760","1005.000","-99.000","0.000","7.400","10.000","","25.400","","25.100",""
"C0Z270","2019-09-18 02:00:00","343.000","23.000","1.200","24.500","0.630","970.800","-99.000","0.000","-99.000","-99.000","-99.000","24.500","","22.300",""
"C0UA30","2019-09-18 02:00:00","1397.000","123.000","0.500","17.000","0.880","861.100","-99.000","0.000","-99.000","-99.000","-99.000","17.600","","15.900",""
"C0I080","2019-09-18 02:00:00","536.000","0.000","0.000","22.700","0.890","951.200","-99.000","0.000","-99.000","-99.000","-99.000","23.400","","22.700",""
"C0UA00","2019-09-18 02:00:00","392.000","160.000","0.600","21.800","0.990","968.300","-99.000","0.000","-99.000","-99.000","-99.000","22.100","","21.400",""
"C0AD40","2019-09-18 02:00:00","32.000","162.000","0.300","24.600","0.820","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","24.600",""
"C0S660","2019-09-18 02:00:00","794.000","213.000","0.700","20.000","0.960","923.400","-99.000","0.000","-99.000","-99.000","-99.000","20.400","","20.000",""
"C0M640","2019-09-18 02:00:00","155.000","139.000","0.800","24.500","0.910","989.900","-99.000","0.000","-99.000","-99.000","-99.000","24.600","","24.100",""
"C0R660","2019-09-18 02:00:00","20.000","152.000","2.400","25.900","-99.000","1005.700","-99.000","0.000","-99.000","-99.000","-99.000","26.800","","25.900",""
"C0UA10","2019-09-18 02:00:00","1711.000","337.000","0.700","14.500","1.000","832.600","-99.000","0.000","-99.000","-99.000","-99.000","14.700","","12.900",""
"C0V770","2019-09-18 02:00:00","26.000","359.000","0.800","26.700","0.990","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","28.800","","26.600",""
"C0E730","2019-09-18 02:00:00","26.000","31.000","3.100","25.900","0.710","1005.300","-99.000","0.000","11.500","58.000","","26.100","","25.900",""
"C0V810","2019-09-18 02:00:00","32.000","311.000","2.000","27.500","0.960","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","28.300","","27.500",""
"C0A9C0","2019-09-18 02:00:00","35.000","342.000","0.800","26.600","0.730","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","26.900","","26.600",""
"C0X310","2019-09-18 02:00:00","9.000","12.000","4.200","26.400","0.700","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","26.600","","25.900",""
"C0K280","2019-09-18 02:00:00","23.000","39.000","3.700","25.400","0.750","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","25.300",""
"C0M650","2019-09-18 02:00:00","20.000","11.000","2.200","25.100","0.720","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","25.500","","25.000",""
"C0S910","2019-09-18 02:00:00","212.000","43.000","10.000","26.500","0.780","984.200","-99.000","0.000","17.700","20.000","","26.500","","26.300",""
"C0D570","2019-09-18 02:00:00","15.000","0.000","0.000","25.000","0.830","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","24.900",""
"C0M710","2019-09-18 02:00:00","15.000","15.000","2.200","25.600","0.720","1006.200","-99.000","0.000","8.200","9.000","","26.400","","25.600",""
"C0V490","2019-09-18 02:00:00","20.000","191.000","0.600","28.700","0.880","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","28.800","","28.600",""
"C0E870","2019-09-18 02:00:00","34.000","30.000","3.800","26.300","0.670","1006.500","-99.000","0.000","9.400","42.000","","26.300","","25.700",""
"C0M800","2019-09-18 02:00:00","440.000","0.000","0.000","23.700","0.950","959.300","-99.000","0.000","-99.000","-99.000","-99.000","24.200","","23.400",""
"C0A570","2019-09-18 02:00:00","360.000","0.000","0.000","20.800","0.990","971.400","-99.000","0.500","-99.000","-99.000","-99.000","21.100","","20.700",""
"C0S790","2019-09-18 02:00:00","236.000","233.000","0.500","24.500","0.680","983.100","-99.000","0.000","-99.000","-99.000","-99.000","24.500","","22.500",""
"C0D590","2019-09-18 02:00:00","143.000","53.000","1.500","23.300","0.900","995.100","-99.000","0.000","-99.000","-99.000","-99.000","23.500","","23.200",""
"C0U990","2019-09-18 02:00:00","31.000","206.000","0.600","25.100","0.730","1008.000","-99.000","0.000","-99.000","-99.000","-99.000","25.800","","24.900",""
"C0M700","2019-09-18 02:00:00","150.000","275.000","0.500","23.900","0.960","991.400","-99.000","0.000","-99.000","-99.000","-99.000","24.500","","23.900",""
"C0A970","2019-09-18 02:00:00","96.000","342.000","6.200","24.300","0.990","1000.100","-99.000","2.000","15.900","9.000","","24.600","","23.700",""
"CM0110","2019-09-18 02:00:00","7.000","34.000","4.300","25.700","0.700","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","26.000","","25.500",""
"C0S940","2019-09-18 02:00:00","150.000","17.000","0.800","25.600","0.600","990.700","-99.000","0.000","-99.000","-99.000","-99.000","26.300","","25.300",""
"C0X250","2019-09-18 02:00:00","33.000","10.000","2.300","25.100","0.740","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","25.600","","25.100",""
"C0K520","2019-09-18 02:00:00","10.000","25.000","3.600","25.600","0.730","1005.700","-99.000","0.000","-99.000","-99.000","-99.000","26.300","","25.400",""
"C0Z200","2019-09-18 02:00:00","153.000","135.000","1.500","22.300","0.990","992.300","-99.000","0.000","-99.000","-99.000","-99.000","23.400","","22.300",""
"C0V740","2019-09-18 02:00:00","60.000","354.000","1.200","25.500","0.990","1001.500","-99.000","0.000","-99.000","-99.000","-99.000","26.000","","25.500",""
"C0V790","2019-09-18 02:00:00","410.000","23.000","1.500","23.300","0.950","961.400","-99.000","0.000","-99.000","-99.000","-99.000","23.800","","23.300",""
"C0G860","2019-09-18 02:00:00","45.000","0.000","0.100","25.900","0.670","1000.800","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","25.700",""
"C0F0A0","2019-09-18 02:00:00","3587.000","227.000","1.700","4.500","0.510","664.600","-99.000","0.000","-99.000","-99.000","-99.000","7.500","","4.400",""
"C0Z250","2019-09-18 02:00:00","1124.000","337.000","2.500","20.000","0.650","887.400","-99.000","0.000","-99.000","-99.000","-99.000","20.000","","17.600",""
"C0K440","2019-09-18 02:00:00","35.000","350.000","4.000","24.600","0.790","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","24.900","","24.200",""
"C0T900","2019-09-18 02:00:00","160.000","266.000","0.700","23.900","0.730","989.000","-99.000","0.000","-99.000","-99.000","-99.000","24.200","","22.200",""
"C0F9V0","2019-09-18 02:00:00","525.000","22.000","0.400","20.900","0.940","948.900","-99.000","0.000","-99.000","-99.000","-99.000","21.400","","20.900",""
"C0UA20","2019-09-18 02:00:00","2619.000","289.000","1.300","8.300","1.000","-99.000","-99.000","0.000","-99.000","-99.000","-99.000","9.400","","8.300",""
"C0M850","2019-09-18 02:00:00","695.000","0.000","0.000","21.900","0.990","930.500","-99.000","0.000","-99.000","-99.000","-99.000","22.100","","21.900",""
"C0G790","2019-09-18 02:00:00","27.000","10.000","1.100","25.700","0.720","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","26.000","","25.700",""
"C0C620","2019-09-18 02:00:00","19.000","64.000","1.700","25.900","0.820","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","25.900","","25.100",""
"C0I360","2019-09-18 02:00:00","300.000","276.000","1.500","23.800","0.900","973.100","-99.000","0.000","-99.000","-99.000","-99.000","25.700","","23.800",""
"C0M810","2019-09-18 02:00:00","1354.000","120.000","0.800","18.200","0.970","863.100","-99.000","0.000","-99.000","-99.000","-99.000","18.800","","17.900",""
"C0AC80","2019-09-18 02:00:00","40.000","0.000","0.200","24.000","0.940","1005.900","-99.000","0.500","-99.000","-99.000","-99.000","24.100","","23.700",""
"CM0140","2019-09-18 02:00:00","26.000","77.000","1.200","28.000","0.560","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","28.800","","27.000",""
"C0SA20","2019-09-18 02:00:00","857.000","350.000","1.800","21.100","0.720","914.700","-99.000","0.000","8.400","353.000","","21.200","","20.500",""
"C0K490","2019-09-18 02:00:00","91.000","0.000","0.000","23.700","0.860","997.200","-99.000","0.000","-99.000","-99.000","-99.000","24.600","","23.200",""
"C0V820","2019-09-18 02:00:00","441.000","58.000","0.400","22.600","0.990","960.700","-99.000","0.000","-99.000","-99.000","-99.000","23.000","","22.400",""
"C0S810","2019-09-18 02:00:00","65.000","330.000","2.000","25.100","0.690","1003.000","-99.000","0.000","7.400","333.000","","26.200","","24.200",""
"C0R580","2019-09-18 02:00:00","10.000","99.000","0.700","26.200","-99.000","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","27.100","","26.200",""
"C0Z330","2019-09-18 02:00:00","488.000","91.000","1.000","23.600","0.600","955.900","-99.000","0.000","-99.000","-99.000","-99.000","23.600","","21.200",""
"C0E590","2019-09-18 02:00:00","40.000","27.000","2.800","25.300","0.750","1002.900","-99.000","0.000","-99.000","-99.000","-99.000","25.300","","24.900",""
"C0D540","2019-09-18 02:00:00","227.000","52.000","2.900","24.200","0.730","985.200","-99.000","0.000","-99.000","-99.000","-99.000","24.200","","21.900",""
"C0K420","2019-09-18 02:00:00","42.000","360.000","0.600","24.400","0.760","1002.800","-99.000","0.000","-99.000","-99.000","-99.000","24.700","","24.300",""
"C0Z180","2019-09-18 02:00:00","34.000","0.000","0.000","24.900","0.770","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","25.800","","24.400",""
"C0AD10","2019-09-18 02:00:00","27.000","30.000","2.500","26.100","0.800","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","26.100","","25.800",""
"C0M720","2019-09-18 02:00:00","225.000","97.000","0.600","23.900","0.900","982.200","-99.000","0.000","-99.000","-99.000","-99.000","23.900","","23.500",""
"C0V450","2019-09-18 02:00:00","51.000","0.000","0.200","25.700","0.990","1001.100","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","25.700",""
"C0R280","2019-09-18 02:00:00","242.000","65.000","0.700","22.400","-99.000","979.800","-99.000","0.000","-99.000","-99.000","-99.000","23.000","","22.400",""
"C0E610","2019-09-18 02:00:00","850.000","0.000","0.000","18.400","0.890","916.000","-99.000","0.000","-99.000","-99.000","-99.000","19.100","","18.400",""
"C0V610","2019-09-18 02:00:00","22.000","17.000","0.800","27.400","0.790","1004.600","-99.000","0.000","-99.000","-99.000","-99.000","28.900","","27.400",""
"C0Z310","2019-09-18 02:00:00","59.000","321.000","1.300","25.000","0.760","1002.000","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","24.700",""
"C0S700","2019-09-18 02:00:00","507.000","214.000","1.100","21.900","0.820","953.400","-99.000","0.000","-99.000","-99.000","-99.000","23.400","","21.500",""
"C0T9G0","2019-09-18 02:00:00","605.000","49.000","0.800","22.900","0.720","943.700","-99.000","0.000","-99.000","-99.000","-99.000","23.600","","21.100",""
"C0U520","2019-09-18 02:00:00","517.000","250.000","1.400","21.600","0.990","955.600","-99.000","0.000","-99.000","-99.000","-99.000","21.700","","20.000",""
"C0E750","2019-09-18 02:00:00","62.000","37.000","3.200","25.900","0.690","1000.600","-99.000","0.000","9.300","43.000","","25.900","","25.600",""
"C0G660","2019-09-18 02:00:00","27.000","2.000","2.100","25.200","0.750","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","25.500","","25.200",""
"C0W140","2019-09-18 02:00:00","21.000","22.000","3.200","26.300","0.720","1009.400","-99.000","0.000","-99.000","-99.000","-99.000","26.900","","26.300",""
"C0U720","2019-09-18 02:00:00","1260.000","232.000","1.100","19.000","0.930","886.800","-99.000","0.000","-99.000","-99.000","-99.000","19.000","","18.100",""
"C0R690","2019-09-18 02:00:00","248.000","22.000","0.900","24.500","-99.000","979.200","-99.000","0.000","-99.000","-99.000","-99.000","24.500","","23.200",""
"C0X150","2019-09-18 02:00:00","18.000","17.000","1.200","25.500","0.820","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","26.600","","25.500",""
"C0Z050","2019-09-18 02:00:00","830.000","299.000","0.800","20.100","0.810","919.900","-99.000","0.000","-99.000","-99.000","-99.000","20.900","","19.700",""
"C0I490","2019-09-18 02:00:00","1601.000","205.000","0.300","16.700","0.990","839.600","-99.000","0.000","-99.000","-99.000","-99.000","17.300","","15.800",""
"C0I090","2019-09-18 02:00:00","910.000","0.000","0.000","21.900","0.950","909.400","-99.000","0.000","-99.000","-99.000","-99.000","22.100","","21.500",""
"C0X240","2019-09-18 02:00:00","394.000","167.000","0.600","22.400","0.980","964.400","-99.000","0.000","-99.000","-99.000","-99.000","22.400","","21.700",""
"C0S990","2019-09-18 02:00:00","409.000","13.000","3.300","25.100","0.620","963.200","-99.000","0.000","-99.000","-99.000","-99.000","25.600","","24.100",""
"C0E850","2019-09-18 02:00:00","104.000","58.000","1.300","25.300","0.700","996.900","-99.000","0.000","-99.000","-99.000","-99.000","25.300","","24.600",""
"C0T9B0","2019-09-18 02:00:00","558.000","263.000","0.600","22.200","0.730","948.100","-99.000","0.000","-99.000","-99.000","-99.000","24.500","","21.900",""
"C0G650","2019-09-18 02:00:00","34.000","0.000","0.000","24.900","0.780","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","25.700","","24.700",""
"C0K580","2019-09-18 02:00:00","26.000","16.000","1.500","24.700","0.800","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","25.100","","24.500",""
"C0X050","2019-09-18 02:00:00","25.000","0.000","0.000","24.800","0.880","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","25.200","","24.500",""
"CM0100","2019-09-18 02:00:00","25.000","64.000","2.100","25.100","0.760","1007.400","-99.000","0.000","-99.000","-99.000","-99.000","25.200","","25.000",""
"C0AC70","2019-09-18 02:00:00","71.000","0.000","0.100","25.600","0.810","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","25.800","","25.500",""
"CM0130","2019-09-18 02:00:00","11.000","358.000","3.100","26.600","0.680","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","27.000","","26.300",""
"C0W110","2019-09-18 02:00:00","16.000","36.000","8.300","-99.000","-99.000","1010.100","-99.000","0.000","16.000","35.000","","-999.000","","-999.000",""
"C0R670","2019-09-18 02:00:00","26.000","62.000","1.800","29.200","-99.000","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","29.200","","28.000",""
"C0X120","2019-09-18 02:00:00","28.000","347.000","1.900","25.400","0.770","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","26.400","","25.400",""
"C0R100","2019-09-18 02:00:00","1006.000","239.000","0.800","19.300","0.990","899.700","-99.000","0.000","-99.000","-99.000","-99.000","19.600","","19.000",""
